t,Date,XOM,CVX,COP,EOG
419,9/14/17,80.089996,114.449997,45.830002,91.779999
420,9/15/17,80.07,114.629997,46.509997999999996,93.220001
421,9/18/17,80.089996,115.190002,47.09,93.050003
422,9/19/17,80.220001,116.339996,47.549999,93.129997
423,9/20/17,80.550003,116.370003,48.330002,94.18
424,9/21/17,79.889999,116.470001,48.689999,93.889999
425,9/22/17,79.91999799999999,117.290001,49.080002,94.550003
426,9/25/17,80.980003,117.989998,49.98,96.290001
427,9/26/17,80.889999,117.519997,49.669998,96.870003
428,9/27/17,81.43,117.449997,50.220001,97.32
429,9/28/17,82.190002,117.620003,50.0,96.82
430,9/29/17,81.980003,117.5,50.049999,96.739998
431,10/2/17,81.629997,117.43,50.310001,97.18
432,10/3/17,81.760002,117.82,49.240002000000004,96.5
433,10/4/17,81.790001,117.58000200000001,49.310001,96.33000200000001
434,10/5/17,82.019997,118.58000200000001,49.700001,96.550003
435,10/6/17,81.709999,117.029999,48.860001000000004,96.190002
436,10/9/17,82.029999,117.709999,48.91,96.5
437,10/10/17,82.260002,118.800003,49.189999,96.779999
438,10/11/17,82.599998,119.33000200000001,49.599998,96.93
439,10/12/17,82.43,119.139999,49.810001,96.650002
440,10/13/17,82.410004,119.160004,49.400002,96.620003
441,10/16/17,82.809998,120.129997,49.720001,97.209999
442,10/17/17,82.959999,120.220001,49.720001,97.449997
443,10/18/17,82.760002,118.150002,49.709998999999996,96.660004
444,10/19/17,82.739998,118.199997,49.709998999999996,95.760002
445,10/20/17,83.110001,118.639999,50.25,96.839996
446,10/23/17,83.239998,118.93,50.259997999999996,96.970001
447,10/24/17,83.470001,119.230003,50.990002000000004,96.480003
448,10/25/17,83.16999799999999,118.440002,49.959998999999996,96.150002
449,10/26/17,83.470001,118.440002,51.459998999999996,96.91999799999999
450,10/27/17,83.709999,113.540001,51.209998999999996,98.470001
451,10/30/17,83.540001,114.389999,51.389998999999996,99.529999
452,10/31/17,83.349998,115.889999,51.150002,99.870003
453,11/1/17,83.870003,115.900002,52.099998,102.290001
454,11/2/17,83.529999,115.33000200000001,52.48,102.949997
455,11/3/17,83.18,114.989998,52.959998999999996,104.5
456,11/6/17,83.75,117.040001,53.669998,106.959999
457,11/7/17,83.58000200000001,117.239998,53.48,106.089996
458,11/8/17,83.470001,116.66999799999999,53.52,104.33000200000001
459,11/9/17,83.970001,117.239998,53.529999,104.779999
460,11/10/17,82.940002,117.18,52.990002000000004,104.58000200000001
461,11/13/17,82.889999,117.230003,52.57,104.459999
462,11/14/17,82.239998,116.91999799999999,51.23,102.470001
463,11/15/17,81.209999,116.449997,50.490002000000004,101.360001
464,11/16/17,80.559998,114.57,50.220001,101.43
465,11/17/17,80.239998,114.709999,50.130001,101.639999
466,11/20/17,80.550003,114.720001,50.080002,101.440002
467,11/21/17,80.870003,115.16999799999999,50.009997999999996,101.660004
468,11/22/17,81.099998,115.910004,50.220001,101.589996
469,11/24/17,81.41999799999999,116.510002,50.470001,101.660004
470,11/27/17,81.110001,115.589996,49.16,99.82
471,11/28/17,81.66999799999999,116.449997,50.130001,99.839996
472,11/29/17,82.269997,117.18,50.73,100.5
473,11/30/17,83.290001,118.989998,50.880001,102.32
474,12/1/17,83.459999,119.510002,51.740002000000004,102.910004
475,12/4/17,83.57,120.839996,51.290001000000004,101.050003
476,12/5/17,82.889999,120.389999,51.23,100.900002
477,12/6/17,82.279999,119.610001,50.380001,98.860001
478,12/7/17,82.550003,119.629997,50.540001000000004,99.720001
479,12/8/17,82.660004,119.91999799999999,51.57,100.389999
480,12/11/17,83.029999,120.41999799999999,51.689999,101.209999
481,12/12/17,82.760002,119.68,51.959998999999996,100.279999
482,12/13/17,83.120003,119.93,51.68,99.940002
483,12/14/17,82.900002,119.529999,52.310001,99.639999
484,12/15/17,83.029999,119.730003,52.169998,98.550003
